clue_id,player_id,answer
3125,108,What is the Aegean Sea?
3129,110,What are mistletoe?
3133,99,Who is Ted Danson?
3139,96,Who is Jamie Lee Curtis?
3142,96,What is gravity?
3144,106,What is Bloomingham?
3144,96,What is Bloomingdale?
3173,106,What is Beijing?
3174,106,What is Oxford?
3174,96,What is Cambridge?
3177,96,What is rotten?
3184,96,What are goggles?
3191,96,What is Alexandria?
3202,97,What is an extension cord?
3202,107,What is wireless?
3209,107,What are reflexes?
3219,107,Who is Strauss?
3230,110,What is The Patriot?
3242,107,What is The Natural?
3242,97,What is Bull Durham?
3244,110,Who is Andy Warhol?
3254,105,What is a tendon?
3272,98,What is dentine?
3279,105,Who is Heidi Klum?
3290,103,Who is Moliere?
3307,103,What is a no-look pass?
3328,98,Who is Dinkins?
3328,110,Who is Marion Berry?
3340,98,What is the trappist?
3354,106,Who is Jenkins?
3355,98,What are The Misanthropes?
3362,110,Who is Charles I?
3366,110,What is Ulysses?
3368,110,What is the Marshall Scholarship?
3374,98,What is checkers?
3374,110,What is Scrabble?
3382,110,What is...
3384,106,What is When Harry Met Sally...?
3385,106,What is Sons & Lovers?
3386,106,What is sophomore?
3390,106,What is [shakes head] Planet of the Apes?
3392,110,Who is Tennyson?
3399,110,What is Methodist?
3410,98,What is critique?
3416,106,What is diary?
3421,106,Who is Herschel?
3426,98,What is ionic?
3427,106,What is heart disease?
3427,110,What is an aneurysm?
3470,1,Ooh.  Who was Mary?
3478,111,Who is Epicure?
3482,1,Who is... George IV?
3487,112,Who is Van Allen?
3506,114,Sgt. Bilko?
3529,1,What is... Chemistry?
3533,113,What is Mongolia?
3537,1,What are Invisible and Invisible?
3547,113,What is Medicine?
3555,116,194--What were the 1940s?
3569,116,What is the drachma?
3579,116,What were the 1820s?
3579,115,What were the... 1780s?
3583,1,Who is Leno?
3603,1,"What are... oh, I don't know."
3604,1,"Who is, um... aah!"
3610,115,Who is Gene Krupa?
3611,115,"What is ""low-key,"" ""keeping it low-key""?"
3613,1,Who is... McCormick?
3622,117,What is marble?
3625,118,What is the Nobel Prize?
3626,118,Who is Johnny Cash?
3628,118,What is a mountain?
3638,118,What is Edo?
3639,118,What is International Business Machine?
3643,117,What is a cadaver?
3661,118,What is a mine?
3670,118,Who is Nimitz?
3693,119,What is hole?
3695,119,What is bourride?
3706,120,What are its eyes?
3706,1,What are its ears?
3708,1,What is the triathlon? [Shakes head]
3708,119,What is a decathlon?
3719,1,What is a campan?
3720,1,What is...
3724,119,What is Turner Center?
3726,119,What is France?
3736,122,What is Batman and Robin?
3736,121,What is Batman Returns?
3742,122,What is echo?
3746,122,What is Mexico?
3748,122,What is a piccolo?
3753,122,What is Ace Ventura: Pet Detective?
3755,120,What is Pepcid?
3755,122,What is Nexium?
3762,120,What is T-E-V-Y-A?
3768,122,I don't know.
3781,120,Who is Chippendale?
3783,120,[Shrugs]
3798,123,What is white?
3800,124,What is a printer?
3802,124,What is a rectangle?
3805,124,What is the United States?
3809,123,...What is the nose?
3812,124,What is a hamonium?
3817,121,What is Uganda?
3833,123,What is Carnegie Mellon?
3838,123,Who are the Greeks?
3838,124,Who are the Visigoths?
3844,124,You can take the lead away from Katie. You have enough money to do that... All right. That'll put you close.
3851,125,What is a kayak?
3857,125,What is McDonnell Douglas?
3857,126,What is Boeing?
3861,125,What is Buddhism?
3863,125,What are tugboats?
3874,125,What is a nightingale?
3875,121,What is the Appalachian trail?
3875,125,What is the Cumberland trail?
3876,125,What is Jupiter?
3876,121,What is Neptune?
3885,125,What is slavery?
3888,125,Who is Coors?
3896,121,What is computer virus?
3900,121,What is Vicks?
3900,125,What is Dimetapp?
3902,125,Who are the [unknown]?
3902,121,Who are the Democrats?
3903,125,What is slavery?
3906,126,What is conquer?
3909,127,Who is John Wilkes Booth?
3942,128,What is a harp?
3943,127,What is like?
3945,128,What are wires?
3948,127,What are bongos?
3952,128,What is an...
3956,126,What is the Salton Sea?
3957,127,What is a catapult?
3957,126,What is momentum?
3964,126,What is alcohol?
3972,128,Who are the Franks?
3980,128,What is McDonnell Douglas?
3980,129,What is Boeing?
3984,129,Who are the Huns?
4003,129,"Who is George Bush, Sr.?"
4006,128,What is allegro?
4006,129,What is fortissimo?
4014,128,
4015,130,Who is Ronald Reagan?
4016,129,What is a supernova?
4022,129,What is daoism?
4024,130,Who is Dame Edna?
4026,130,What is Ming dynasty?
4038,132,What is How to Win Friends and Influence People?
4045,130,What is a giimmel?
4062,130,What is joy?
4063,130,What is catcher?
4067,132,What is your address?
4072,131,What is Mont Blanc?
4072,132,What is Mont Blanc and Mount Fuji?
4083,130,What is art deco?
4085,130,What is First Day of Circulation?
4133,133,What is Yekaterinaburg?
4136,134,What are the Giants?
4141,133,What are...
4144,133,What is persimmon?
4152,136,What is Japan?
4155,136,What is the preamble?
